Section,Field_AR,Field_EN,Value,Status,Classification,Notes
"معلومات مقدم الطلب - بيانات ممثل الجهة","اسم ممثل الجهة","Representative Name","هتون العليمي","","",""
"معلومات مقدم الطلب - بيانات ممثل الجهة","المسمى الوظيفي","Job Title","مدير إدارة الأداء المؤسسي","","",""
"معلومات مقدم الطلب - بيانات ممثل الجهة","رقم التواصل","Contact Number","0551234567","","",""
"معلومات مقدم الطلب - بيانات ممثل الجهة","البريد الإلكتروني","Email","h.alaimi@vision2030.gov.sa","","",""
"معلومات مقدم الطلب - بيانات ممثل الجهة","اسم الجهة","Entity Name","مكتب الإدارة الاستراتيجية - مجلس الشؤون الاقتصادية والتنمية","","",""
"تفاصيل طلب البيانات","الغرض من طلب البيانات","Purpose of Data Request","التكامل بين منصة ادارة الرؤية الرقمية VDP و مركز اداء","","",""
"تفاصيل طلب البيانات","مسوغ الطلب","Request Justification","لتبادل البيانات والتحديثات التي تتم على المؤشرات والمنجزات","","",""
"تفاصيل طلب البيانات","مكان تخزين البيانات","Data Storage Location","قاعدة بيانات منصة ادارة الرؤية الرقمية VDP","","",""
"تفاصيل طلب البيانات","المدة الزمنية للاحتفاظ بالبيانات","Data Retention Period","دائم","","",""
"تفاصيل طلب البيانات","فترة مشاركة البيانات","Data Sharing Period","طلب دوري (يومي، أسبوعي، شهري، سنوي)","","",""
"تفاصيل طلب البيانات","صيغة البيانات أو طريقة الربط","Data Format/Integration Method","ربط آلى من خلال التكامل عبر GSN Restfull APIs Json Format","","",""
"تفاصيل طلب البيانات","الإدارة المسموح لها بالوصول","Authorized Department","ادارة العمليات والتشغيل والمتابعة","","",""
"تفاصيل طلب البيانات","ملاحظات","Notes","البيانات المطلوبة لدعم منصة SMO في تتبع أداء رؤية 2030 وتوفير لوحات متابعة شاملة للبرامج والمبادرات","","",""
"ADAA KPIs","KPI_ID","KPI_ID","","متوفر","عام","معرّف المؤشر الأساسي"
"ADAA KPIs","CODE","CODE","","متوفر","عام","كود المؤشر (NCW.O1.K2)"
"ADAA KPIs","NAME_AR","NAME_AR","","متوفر","عام","اسم المؤشر بالعربية"
"ADAA KPIs","NAME_EN","NAME_EN","","متوفر","عام","اسم المؤشر بالإنجليزية"
"ADAA KPIs","FORMULAAR","FORMULAAR","","متوفر","عام","صيغة المؤشر بالعربية"
"ADAA KPIs","FORMULAEN","FORMULAEN","","متوفر","عام","صيغة المؤشر بالإنجليزية"
"ADAA KPIs","FREQUENCY","FREQUENCY","","متوفر","عام","التكرار (365 يوم سنوي)"
"ADAA KPIs","BASELINEVALUE","BASELINEVALUE","","متوفر","عام","قيمة خط الأساس"
"ADAA KPIs","BASELINEYEAR","BASELINEYEAR","","متوفر","عام","سنة خط الأساس"
"ADAA KPIs","MEASUREMENTUNITTYPE","MEASUREMENTUNITTYPE","","متوفر","عام","نوع الوحدة (نسبة/رقم/عملة)"
"ADAA KPIs","WEIGHT","WEIGHT","","متوفر","داخلي","الوزن (ثابت 1 غالباً)"
"ADAA KPIs","DATASOURCEAR","DATASOURCEAR","","متوفر","عام","مصدر البيانات بالعربية"
"ADAA KPIs","DATASOURCEEN","DATASOURCEEN","","متوفر","عام","مصدر البيانات بالإنجليزية"
"ADAA KPIs","NOTES","NOTES","","متوفر","عام","ملاحظات"
"ADAA KPIs","ADAA_COMMENTS","ADAA_COMMENTS","","متوفر","داخلي","تعليقات أداء"
"ADAA KPIs","ENTITYID","ENTITYID","","متوفر","عام","معرف الجهة"
